Ward,residential_area_m2,residential_bus_m2,residential_metro_m2,residential_either_m2,residential_both_m2,bus_pct,metro_pct,either_pct,both_pct,2011 Population,population_per_res_m2,population_bus,population_metro,population_either,population_both,population_not_bus,population_not_metro,population_not_either,population_not_both,bus_check,metro_check,either_check,both_check
170,361148.70843604,103435.34424653431,0.0,103435.34424653431,0.0,28.640651850718964,0.0,28.640651850718964,0.0,44257,0.12254508729009614,12675.49328957269,0.0,12675.49328957269,0.0,31581.50671042731,44257.0,31581.50671042731,44257.0,0.0,0.0,0.0,0.0
172,485986.63557492883,157298.57091057804,0.0,157298.57091057804,0.0,32.36685114282859,0.0,32.36685114282859,0.0,48061,0.0988936659608822,15555.832327754846,0.0,15555.832327754846,0.0,32505.167672245152,48061.0,32505.167672245152,48061.0,0.0,0.0,0.0,0.0
173,517123.2812595666,141413.41938921827,43662.03365821109,141413.41938921827,43662.03365821126,27.346171505714274,8.4432542955449,27.346171505714274,8.443254295544932,40631,0.07857120627219555,11111.022944486765,3430.578652822848,11111.022944486765,3430.5786528228614,29519.977055513235,37200.42134717715,29519.977055513235,37200.421347177136,0.0,0.0,0.0,0.0
178,285519.6601184873,77108.92051974752,1555.057345698021,78663.97786544554,0.0,27.006518741213203,0.5446410748221998,27.551159816035405,0.0,39952,0.1399273170310597,10789.644367489496,217.5950022129652,11007.239369702462,0.0,29162.355632510502,39734.40499778704,28944.76063029754,39952.0,0.0,0.0,0.0,0.0
179,347211.2654123829,97671.97370428257,522.9613139678423,97671.97370428257,522.9613139678414,28.130416099338696,0.1506176112536905,28.130416099338696,0.15061761125369022,37765,0.10876663219768086,10623.45163991526,56.88074088995621,10623.45163991526,56.88074088995611,27141.54836008474,37708.11925911004,27141.54836008474,37708.11925911004,0.0,0.0,0.0,0.0
180,402010.7250343828,66766.8808611883,0.0,66766.8808611883,0.0,16.60823373691782,0.0,16.60823373691782,0.0,41210,0.10250970293510311,6844.253122983834,0.0,6844.253122983834,0.0,34365.746877016165,41210.0,34365.746877016165,41210.0,0.0,0.0,0.0,0.0
181,260400.37808802983,40059.92882552522,2558.305138380673,42588.39346823248,29.840495673408203,15.383974908048225,0.9824506235992573,16.35496606454052,0.011459467106964204,19027,0.07306825028329189,2927.108905754336,186.93088015223069,3111.8593931001246,2.1803928064420792,16099.891094245664,18840.06911984777,15915.140606899875,19024.819607193556,0.0,0.0,0.0,0.0
182,510472.1315519096,82749.5870316487,26108.86243261692,100615.44515977723,8243.004304488137,16.210402471938654,5.1146499130603225,19.710271911199467,1.6147804737994615,21451,0.042021882633995776,3477.2934342555604,1097.1435528505697,4228.050427671397,346.38655943472247,17973.70656574444,20353.856447149432,17222.9495723286,21104.613440565277,0.0,0.0,0.0,0.0
183,278053.85755360906,41103.847183271304,1184.5725321792916,42288.4197154506,0.0,14.782692657067864,0.42602269308596263,15.208715350153826,0.0,21902,0.07876891258657426,3237.7053457510037,93.30749023968754,3331.0128359906917,0.0,18664.294654248995,21808.692509760313,18570.987164009308,21902.0,0.0,0.0,0.0,0.0
184,431530.7702567346,26753.536359662645,0.3710912801225099,26753.536359662645,0.3710912801225099,6.199682201977373,8.599416442580285e-05,6.199682201977373,8.599416442580285e-05,27714,0.06422253500836533,1718.179925456009,0.023832422728967,1718.179925456009,0.023832422728967,25995.82007454399,27713.97616757727,25995.82007454399,27713.97616757727,0.0,0.0,0.0,0.0
