Name,residential_area_m2
170,361148.70843604
172,485986.63557492883
173,517123.2812595666
178,285519.6601184874
179,347211.2654123829
180,402010.7250343828
181,260400.37808802983
182,510472.13155190967
183,278053.857553609
184,431530.7702567346
190,277698.80137086747
191,285302.3596041213
192,477965.2351877225
193,435422.3858958666
194,233980.40857496046
195,350194.71009743016
196,215699.70132127576
198,441420.25723064126
199,104089.7492799625
200,146766.94625592188
